,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
0,"grōd-, grəd-",arm.,karkut,Hagel,"mit Umstellung aus dem reduplizierten \*gagrōdo- s. Meillet MSL. 10, 280; Da das arm. Wort ohnedies schwierig erscheint und ferngehalten werden könnte, ist vielleicht eine Grundform \*ghrōdh-, \ghrədh- anzusetzen, zu gr. χερμάς `Kiesel' (s. __gher-2__), vgl. nhd. Hagel: gr. κάχληξ `Kiesel', usw.",,Hail,"with a change from the reduplicated *gagrōdo- see Meillet MSL. 10, 280; Since the Armenian word already seems difficult and could be kept away, perhaps a basic form *ghrōdh-, \ghrədh- should be assumed, to Greek χερμάς `pebble' (see __gher-2__), cf. modern German Hagel: Greek κάχληξ `pebble', etc."
1,"grōd-, grəd-",lat.,"grandō, -inis",Hagel,,,Hail,
2,"grōd-, grəd-",lit.,grúodas,"hartgefrorener Straßenkot, Steinfrost, Frost ohne Schnee; Mauke",bsl. *grōda-,,"frozen road slush, ground frost, frost without snow; chilblains",bsl. *grōda- [UNKNOWN]
3,"grōd-, grəd-",aksl.,gradъ,Hagel,,,Hail,
4,"grōd-, grəd-",russ.,grad,Hagel,,,Hail,
5,"grōd-, grəd-",skr.,grȁd,Hagel,,,Hail,
6,"grōd-, grəd-",poln.,grad,Hagel,,,Hail,
0,g̑hāgu̯h-,npers.,zāq,"junges Tier, bes. junges Huhn",q arabisierende Schreibung für ɣ,,"young animal, especially young chicken",q Arabized spelling for ɣ
1,g̑hāgu̯h-,arm.,jag,"Junge eines Tieres, bes. eines Vogels, Nestling",pers. Lw.,,"Young of an animal, especially a bird, nestling",pers. Lw. [UNKNOWN]
2,g̑hāgu̯h-,alb.,zok,"Vogel, junger Vogel",,,"Bird, young bird",
3,g̑hāgu̯h-,alb.,zogu,"Vogel, junger Vogel",,,"Bird, young bird",
0,ghait-ā,av.,gaēsa-,"Kraushaar, Lockenhaar",von *ghait-[e]s- aus,,"Frizzy hair, curly hair",from *ghait-[e]s-
1,ghait-ā,npers.,gēs,"herabhängende Haare, Locken",von *ghait-[e]s- aus,,"hanging hair, curls",from *ghait-[e]s-
2,ghait-ā,av.,gaēsu-,"kraushaarig, lockenhaarig; (beim Kamel:) zottelhaarig",von *ghait-[e]s- aus,,"curly-haired, wavy-haired; (referring to a camel:) shaggy-haired",from *ghait-[e]s-
3,ghait-ā,gr.,χαίτη,"Lockenhaar, frei herabwallendes Haar; Mähne (von Pferden, Löwen); Baumbart",,,"Curly hair, freely cascading hair; mane (of horses, lions); beard of a tree",
4,ghait-ā,maked.,Γαιτέας,PN,,,Private message,
5,ghait-ā,mir.,gaīset,"steifes Haar, Borste",(aus *ghait-s-),,"stiff hair, bristle",(from *ghait-s-)
0,"g̑hal-, g̑hal-ar-",air.,galar,"Krankheit, Kummer",,,"Sickness, grief",
1,"g̑hal-, g̑hal-ar-",cymr.,galar,"luctus, planctus",,,"mourning, lamentation",
,"g̑hal-, g̑hal-ar-",corn.,galar,"luctus, planctus",,,"mourning, lamentation",
2,"g̑hal-, g̑hal-ar-",aisl.,galli,"Makel, Fehler, Schaden","aber \gealla m. 'wundgeriebene Stelle beim Pferde', engl. \gall ds., mnd. galle 'beschädigte Stelle', mhd. \galle 'Geschwulst am Pferde, fehlerhafte Stelle im Gestein', nhd. \galle 'Geschwulst, Fehler im Gestein, im Acker usw.' sind mit \Galle = \Gall-apfel aus lat. \galla entlehnt",,"Flaw, mistake, damage","aber \gealla m. 'sore spot on a horse', English \gall same, Middle Low German galle 'damaged spot', Middle High German \galle 'swelling on a horse, defective spot in a rock', modern German \galle 'swelling, defect in a rock, in a field, etc.' are borrowed from Latin \galla = \Gall-apfel"
3,"g̑hal-, g̑hal-ar-",lit.,žalà,"Schaden, Verletzung",,,"Damage, injury",
4,"g̑hal-, g̑hal-ar-",lit.,žalìngas,"bösartig, schädlich",,,"malignant, harmful",
5,"g̑hal-, g̑hal-ar-",lett.,zalba,"Schaden, Verletzung am Körper","oder aus dem Russischen entlehnt? s. Endzelin KZ. 44, 66",,"Damage, injury to the body","or borrowed from Russian? see Endzelin KZ. 44, 66"
6,"g̑hal-, g̑hal-ar-",lett.,zolba,"Schaden, Verletzung am Körper","oder aus dem Russischen entlehnt? s. Endzelin KZ. 44, 66",,"Damage, injury to the body","or borrowed from Russian? see Endzelin KZ. 44, 66"
7,"g̑hal-, g̑hal-ar-",klruss.,zolok,die schmerzhafteste Stelle einer Wunde,,,the most painful part of a wound,
8,"g̑hal-, g̑hal-ar-",russ.,nazóla,"Gram, Kummer, Ärger",,,"Grief, sorrow, anger",
9,"g̑hal-, g̑hal-ar-",hitt.,kal-la-ar,schlecht,Pedersen (Hitt. 46) vergleicht mit air. galar hitt. kal-la-ar (kallar) 'schlecht',,bad,Pedersen (Hitt. 46) compares with air. galar hitt. kal-la-ar (kallar) 'bad'
10,"g̑hal-, g̑hal-ar-",hitt.,kallar,schlecht,Pedersen (Hitt. 46) vergleicht mit air. galar hitt. kal-la-ar (kallar) 'schlecht',,bad,Pedersen (Hitt. 46) compares with air. galar hitt. kal-la-ar (kallar) 'bad'
0,g̑han-,gr. hom.,ἔχανον,"gähnen, klaffen","Aor. (eigentl. Imperf. zu *χα-νᾱ-μι, *χά-νω)",,"yawn, gape","Aor. (actually Imperf. to *χα-νᾱ-μι, *χά-νω)"
1,g̑han-,gr. hom.,κέχηνα,"gähnen, klaffen",Perf. (dor. κεχά̄ναντι),,"yawn, gape",Perf. (doric κεχά̄ναντι) [UNKNOWN]
2,g̑han-,gr. hom.,χαίνω,"gähnen, klaffen",späteres Präs.,,"yawn, gape",later president
3,g̑han-,gr. hom.,τὸ χάνος,das Gähnen,bei Komikern auch 'Mund',,the yawning,among comedians also 'mouth'
4,g̑han-,gr. hom.,ἀχανής,"weit geöffnet, weit ausgedehnt","ἀ- copulativum; anders über gr. ἀχανής Specht Dekl. 282 f., der in ἀ- den Anlaut der Wurzel sieht",,"wide open, widely extended","ἀ- copulative; differently according to Gr. ἀχανής Specht Dekl. 282 f., who sees the initial sound of the root in ἀ-"
5,g̑han-,gr. hom.,"χανύω, χανύσσω",spreche mit offenem Munde,Hes.,,speak with an open mouth,Hes. [UNKNOWN]
,,,,,,,,
7,g̑han-,gr. hom.,χαν-δόν,in vollen Zügen,s. Schwyzer Gr. Gr. I 626,,to the fullest,see Schwyzer Gr. Gr. I 626 [UNKNOWN]
8,g̑han-,aisl.,gan,das Gähnen,wohl = τὸ χάνος,,the yawning,wohl = τὸ χάνος [UNKNOWN]
9,g̑han-,norw. schwed.,gan,"Schlund, Rachen","auch 'Kiemen, Kopf und Eingeweide kleinerer Fische'",,"Throat, Pharynx","also 'gills, head and intestines of smaller fish'"
10,g̑han-,aisl.,gana,"aufklaffen, (Mund oder Augen nach etwas aufsperren:) begehren, glotzen",,,"gape, (to open mouth or eyes wide:) desire, stare",
11,g̑han-,aisl.,gø̄nir,Spötter,,,Scoffer,
12,g̑han-,,,,"Auch der Name der Gans, idg. __ĝhan-s-__, ĝhan-[ə]d-, stellt sich hierher, s. dort.","general comment, connects with other root",,"Auch der Name der Gans, idg. ĝhan-s-, ĝhan-[ə]d-, stellt sich hierher, s. dort. [UNKNOWN]"
0,ghau̯o-,lat.,haud,Begriffsnegation 'nicht',"vielleicht aus *hā̆uidom > *hā̆udom (> haud wie nihilum > nihil), neutr. Adjektiv 'falsch (wäre es)'",,Concept negation 'not',"perhaps from *hā̆uidom > *hā̆udom (> haud like nihilum > nihil), neut. adjective 'false (it would be)'"
1,ghau̯o-,air.,gāu,"Unrichtiges, Lüge'",f.,"General note: Ganz zweifelhafte Gleichung. Wenn die kelt. Formen mit āu anzusetzen sind, könnten sie auf idg. *gōu- (zu geu- `biegen', S. 393) zurückgehen. Vgl. zum Vokalismus Pokorny ZceltPh. 11, 19, zur Bedeutung Frisk Göteborgs Högsk. Ȧrsskr. 41 (1935), 3. Abt., S. 11.","Incorrect, lie",f. [UNKNOWN]
2,ghau̯o-,air.,gāo,"Unrichtiges, Lüge'",f.,,"Incorrect, lie",f. [UNKNOWN]
3,ghau̯o-,air.,gō,"Unrichtiges, Lüge'",f.,,"Incorrect, lie",f. [UNKNOWN]
4,ghau̯o-,air.,gū-forcell,falsches Zeugnis',,,false testimony,
5,ghau̯o-,mcymr.,geu,"falsch', Subst. 'Lüge'",,,"wrong', noun 'lie'",
6,ghau̯o-,ncymr.,gau,"falsch', Subst. 'Lüge'",,,"wrong', noun 'lie'",
7,ghau̯o-,corn.,gow,"falsch', Subst. 'Lüge'",m.,,"wrong', noun 'lie'",m.
8,ghau̯o-,bret.,gaou,"falsch', Subst. 'Lüge'",,,"wrong', noun 'lie'",
9,ghau̯o-,mcymr.,geuawc,schuldig',abgeleitet,,guilty,derived
10,ghau̯o-,ncymr.,euog,schuldig',abgeleitet,,guilty,derived
0,ghegh-,arm.,gog,"Höhlung, Schoß, Busen, Bauch usw., als Adjektiv 'hohl, konkav'",,,"Cavity, lap, bosom, belly etc., as the adjective 'hollow, concave'",
1,ghegh-,arm.,gogem,aushöhlen,,,hollow out,
2,ghegh-,arm.,gugem,"umarmen, pflegen",(*ghōgh-),,"embrace, nurture",(*ghōgh-) [UNKNOWN]
3,ghegh-,norw.,gagr,zurückgebogen,,,bent back,
4,ghegh-,aisl.,gag-hals,mit zurückgebogenem Hals,,,with a bent neck,
5,ghegh-,aisl.,gǣgiask,sich strecken,ablautend,,to stretch oneself,showing ablaut
6,ghegh-,lit.,gõgas,Widerrist des Pferdes,m.,,Horse's withers,m.
0,g̑(h)eg̑h-,ai.,jáhakā,Iltis (oder 'Igel'?),vgl. lit. oškà `Ziege' gegenüber ai. ajikā ds.,,Marten (or 'hedgehog'?),vgl. lit. oškà `goat' compared to Sanskrit ajikā etc.
1,g̑(h)eg̑h-,lit.,šẽškas,Iltis,durch zweifache Assimilation aus*žežkas entstanden; vgl. lit. oškà `Ziege' gegenüber ai. ajikā ds.,,Polecat,arose from double assimilation of *žežkas; cf. Lithuanian oškà 'goat' compared to Sanskrit ajikā etc.
,,,,,,,,
,,,,,,,,
0,g̑hēlā,ai.,hālā,Branntwein,,,Spirit or liquor,
1,g̑hēlā,gr.,"gr. χάλις, -ιος'",ungemischter Wein,,,unmixed wine,
2,g̑hēlā,gr.,χαλί-κρητος,ungemischter Wein,,,unmixed wine,
,,,,,,,,
3,g̑hēlā,maked.,κάλιθος,οἶνος.  ̓Αμερίας,Hes.,,Wine. America,Hes. [UNKNOWN]
0,gheldh-,ai.,gŕ̥dhyati,"ist gierig, verlangt heftig",/= serb.-ksl. žlъždǫ,,"is greedy, demands vigorously",/= serb.-ksl. žlъždǫ [UNKNOWN]
1,gheldh-,ai.,gr̥dhnú-ḥ,gierig,,,greedy,
2,gheldh-,ai.,gŕ̥dhra-ḥ,gierig; Geier,,,greedy; vulture,
3,gheldh-,ai.,gardha-ḥ,Begierde,/= aksl. gladъ,,Desire.,/= aksl. gladъ
4,gheldh-,av.,gərəða-,Begierde,,,Desire.,
,,,,,,,,
6,gheldh-,serb.-ksl.,"žlъždǫ, žlъděti",desiderare,slav. *žildiō 'verlange',,to desire,slav. *žildiō 'verlange' [UNKNOWN]
7,gheldh-,skr.,"žúdîm, žúdjeti","verlangen, sich sehnen nach",slav. *žildiō 'verlange',,"desire, yearn for",slav. *žildiō 'verlange' [UNKNOWN]
,,,,,,,,
9,gheldh-,aksl.,gladъ,Hunger,slav. *galda- m. `Hunger',,Hunger,slav. *galda- m. `hunger'
10,gheldh-,skr.,glâd,Hunger,Gen. glâda; slav. *galda- m. `Hunger',,Hunger,Gen. glâda; slav. *galda- m. 'Hunger'
11,gheldh-,čech.,hlad,Hunger,slav. *galda- m. `Hunger',,Hunger,slav. *galda- m. `hunger'
12,gheldh-,russ.,gółod,Hunger,Gen. gółoda; slav. *galda- m. `Hunger',,Hunger,Gen. gółoda; slav. *galda- m. `Hunger'
0,ghelg̑h-,arm.,gełj-kh,Drüsen,"der auffällige Anlaut erklärt sich durch Dissimilation, s. Meillet MSL. 13, 244f., Lidén Arm. Stud. 71 u. A. 1. 2",,Glands,"the striking initial sound is explained by dissimilation, see Meillet MSL. 13, 244f., Lidén Arm. Stud. 71 et al. 1. 2"
1,ghelg̑h-,ostlit.,gẽležuones,"Drüsen, Kropf",,,"Glands, goiter",
2,ghelg̑h-,ostlit.,gẽležaunēs,"Drüsen, Kropf",,,"Glands, goiter",
3,ghelg̑h-,ostlit.,gẽležūnes,"Drüsen, Kropf",,,"Glands, goiter",
,,,,,,,,
5,ghelg̑h-,ksl.,žlěza,Drüse,slav. *želza,,Gland,slav. *želza [UNKNOWN]
6,ghelg̑h-,russ.,železá,Drüse,slav. *želza,,Gland,slav. *želza [UNKNOWN]
7,ghelg̑h-,sloven.,žlẹ́za,Drüse,slav. *želza,,Gland,slav. *želza [UNKNOWN]
8,ghelg̑h-,čech.,žléza,Drüse,slav. *želza; über čech. hlíza 'Abszeß' s. Meillet ааО.,,Gland,slav. *želza; via Czech hlíza 'abscess' see Meillet ааО.
9,ghelg̑h-,čech.,žláza,Drüse,slav. *želza,,Gland,slav. *želza [UNKNOWN]
10,ghelg̑h-,poln.,zołza,Drüse,slav. *želza,,Gland,slav. *želza [UNKNOWN]
0,"ghel-ond-, ghol-n̥d-",gr.,χολάδες,"Eingeweide, Gedärm",f. Pl.,,"Entrails, intestines",feminine plural
1,"ghel-ond-, ghol-n̥d-",gr.,χόλικες,"Eingeweide, Gedärm",,,"Entrails, intestines",
2,"ghel-ond-, ghol-n̥d-",aksl.,*želǫdъkъ,Magen,,,Stomach,
3,"ghel-ond-, ghol-n̥d-",russ.-ksl.,želúdъkъ,Magen,,,Stomach,
4,"ghel-ond-, ghol-n̥d-",skr.,žèludac,Magen,,,Stomach,
5,"ghel-ond-, ghol-n̥d-",čech.,žaludek,Magen,,,Stomach,
6,"ghel-ond-, ghol-n̥d-",poln.,żołądek,Magen,,,Stomach,
0,2. gher-,gr.,κέγχρος,"Hirse, Kot",,,"Millet, feces",
1,2. gher-,gr.,κάχρυς,geröstete Gerste,diss. aus *gher-ghro- und *ghn̥-ghru-,,roasted barley.,from *gher-ghro- and *ghn̥-ghru-
2,2. gher-,gr.,χέραδος,"Geröll, Kies",n.; *gherəd- oder *ghern̥d-?,,"Rubble, gravel",n.; *gherəd- or *ghern̥d-?
3,2. gher-,gr.,"χεράς, -άδος","Geröll, Kies",f.; *gherəd- oder *ghern̥d-?,,"Rubble, gravel",f.; *gherəd- or *ghern̥d-?
4,2. gher-,gr.,"χερμάς, -άδος","Kiesel, Schleuderstein",,,"Pebble, sling stone",
5,2. gher-,lat.,"furfur, -uris","der Balg, die Hülse des Getreides und der Hülsenfrüchte; die Kleie","m.; *for-for; Vokalstufe wie in lit. gurùs `bröckelig', gùrti `zerbröckeln'",,"the husk, the shell of grains and legumes; the bran","m.; *for-for; Vowel grade as in Lithuanian gurùs 'crumbly', gùrti 'to crumble'"
,,,,,,,,
7,2. gher-,ai.,gharṣati,reibt,s-Erweiterung,,rubs,s-extension
8,2. gher-,ai.,ghr̥ṣṭa-ḥ,gerieben,s-Erweiterung,,grated,s-extension
9,2. gher-,russ.,goróchъ,Erbse,die sl. Intonation entw. aus einer dehnst. Grundf. *ghōrso-s oder aus *ghorəsos,,Pea,the Slavic intonation either derives from an extended basic form *ghōrso-s or from *ghorəsos [UNKNOWN]
10,2. gher-,skr.,grȁh,"Bohne, Erbse",die sl. Intonation entw. aus einer dehnst. Grundf. *ghōrso-s oder aus *ghorəsos,,"Bean, Pea",the Slavic intonation either derives from an extended basic form *ghōrso-s or from *ghorəsos [UNKNOWN]
0,"1. ghers-, ghres-",av.,grə̄hma-,"Sünder, Frevler",(?),,"Sinner, evildoer",(?) [UNKNOWN]
1,"1. ghers-, ghres-",arm.,garšim,habe Abscheu vor,,,have disgust for,
2,"1. ghers-, ghres-",air.,goirt,bitter,"(\*ghorstis), besser zu gʷher-",these don't belong here; Pokorny assigns to diff. root,bitter,"(*ghorstis), better related to gʷher-"
3,"1. ghers-, ghres-",air.,gortae,Hunger,besser zu gʷher-,these don't belong here; Pokorny assigns to diff. root,Hunger,better to carry
4,"1. ghers-, ghres-",mhd.,garst,"verdorben, ranzig",,,"spoiled, rancid",
5,"1. ghers-, ghres-",mnd.,garst,"verdorben, ranzig",,,"spoiled, rancid",
6,"1. ghers-, ghres-",nhd.,garstig,"verdorben, ranzig",,,"spoiled, rancid",
,"1. ghers-, ghres-",nl.,garstig,"verdorben, ranzig",,,"spoiled, rancid",
7,"1. ghers-, ghres-",ahd.,gerstī,Bitterkeit,,,Bitterness,
8,"1. ghers-, ghres-",aisl.,gersta,"reizen, verbittern",s. auch gʷher-,,"provoke, embitter",see also gʷher-
9,"1. ghers-, ghres-",lit.,grasà,"Drohung, Strenge",f.,,"Threat, strictness",f. [UNKNOWN]
10,"1. ghers-, ghres-",lit.,grasùs,"drohend, ekelhaft",,,"threatening, disgusting",
11,"1. ghers-, ghres-",lit.,"gresiù, grė̃sti","drohen, abgewöhnen",,,"threaten, break the habit",
,,,,,,,,
13,"1. ghers-, ghres-",lit.,"gristù, grìsti",überdrüssig werden,,,to become weary,
,,,,,,,,
15,"1. ghers-, ghres-",lit.,"grasinù, grasìnti",drohen,,,to threaten,
,,,,,,,,
17,"1. ghers-, ghres-",lett.,grasāt,drohen,,,to threaten,
18,"1. ghers-, ghres-",lett.,grasīt,drohen,,,to threaten,
0,2. ghers-,ahd.,gers,"Giersch, Aegopodium Podagraria","Grassmann, Dt. Pflanzennamen 100 ff., Björkmann ZfdWtf. 3, 268",,"Ground elder, Aegopodium Podagraria","Grassmann, German plant names 100 ff., Björkmann ZfdWtf. 3, 268 [UNKNOWN]"
1,2. ghers-,ahd.,giers,"Giersch, Aegopodium Podagraria","Grassmann, Dt. Pflanzennamen 100 ff., Björkmann ZfdWtf. 3, 268",,"Ground elder, Aegopodium Podagraria","Grassmann, German plant names 100 ff., Björkmann ZfdWtf. 3, 268 [UNKNOWN]"
2,2. ghers-,ahd.,girst,"Giersch, Aegopodium Podagraria","Grassmann, Dt. Pflanzennamen 100 ff., Björkmann ZfdWtf. 3, 268",,"Ground elder, Aegopodium Podagraria","Grassmann, German plant names 100 ff., Björkmann ZfdWtf. 3, 268 [UNKNOWN]"
3,2. ghers-,lit.,gar̃šas,Angelica Archangelica,,,Angelica Archangelica,
4,2. ghers-,lit.,garšvà,Angelica Archangelica,,,Angelica Archangelica,
5,2. ghers-,lit.,gar̃švė,Giersch,,,Ground elder,
6,2. ghers-,lett.,gārsa,Giersch,,,Ground elder,
7,2. ghers-,lett.,gārša,Giersch,,,Ground elder,
8,2. ghers-,lett.,gārši,Giersch,,,Ground elder,
9,2. ghers-,lit.,gìrsa,Trespe (Bromus),dazu auch lit. \gìrsa\ f. = \dìrsė\ 'Trespe' (Bromus),,Brome grass (Bromus),additionally also lit. \gìrsa\ f. = \dìrsė\ 'Trespe' (Bromus)
10,2. ghers-,lett.,dzirši,Trespen,"diese nach Endzelin KZ. 44, 58 zu lat. \hordeum\ [s. unter __ĝherzd(h)__] 'Gerste'; vgl. Mühlenbach-Endzelin I 555, 618 f.",,Brome grasses,"these according to Endzelin KZ. 44, 58 to Latin \hordeum\ [see under __ĝherzd(h)__] 'barley'; cf. Mühlenbach-Endzelin I 555, 618 f."
0,gherto-,ai.,ghr̥tám,"Rahm, Butter, Schmelzbutter","nach Uhlenbeck zu \jígharti\ (\gharati\) 'besprengt, beträufelt', npers. \ā-ɣārdan\ 'vermischen, einweichen'",,"Cream, butter, clarified butter","according to Uhlenbeck, \jígharti\ (\gharati\) means 'sprinkled, drizzled', npers. \ā-ɣārdan\ means 'mix, soak'"
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,gherto-,mir.,gert,Milch,,,Milk,
0,gheub(h)-,Norw. dial.,gūva,zusammengesunken sitzen,,,sitting hunched over,
1,gheub(h)-,schwed.,jordgubbe,Gartenerdbeere,,,Garden strawberry,
2,gheub(h)-,alt. dän.,gubbe,"Kehlkopf, Brust",,,"Larynx, chest",
3,gheub(h)-,ndd. (Estland),gubbe,kleiner Heuhaufen,,,small haystack,
4,gheub(h)-,ags.,géap,"krumm, listig","aber géap `weit, geräumig, offen', aisl. gaupn `hohle Hand' s. unter __ĝhēu-__ `gähnen, klaffen'",,"crooked, cunning.","aber géap `wide, spacious, open', Old Norse gaupn `hollow hand' s. under __ĝhēu-__ `to yawn, gape'"
,,,,,,,,
6,gheub(h)-,aisl.,gumpr,Steiß,aus aschwed. gumper,,Coccyx,"from Old Swedish ""gumper"
7,gheub(h)-,schwed.,gump,Steiß,,,Coccyx,
8,gheub(h)-,dän.,gump,Steiß,,,Coccyx,
9,gheub(h)-,mhd.,"guffe, goffe",Steiß,aber über mhd. gupf 'Spitze eines Berges' s. unter __geu-__ 'biegen',,Coccyx,but about mhd. gupf 'peak of a mountain' see under geu- 'to bend'
10,gheub(h)-,ags.,gupan,"clunes, cloxae",Pl.,,"buttocks, hips",Plural
11,gheub(h)-,ahd.,goffa,Steiß,,,Coccyx,
12,gheub(h)-,isl.,goppa,"auf undnieder hüpfen, schaukeln",Intensivbildung,,"bouncing up and down, swinging",Intensive training
13,gheub(h)-,schwed.,guppa,"auf undnieder hüpfen, schaukeln",,,"bouncing up and down, swinging",
14,gheub(h)-,nhd.,gupfen,"auf undnieder hüpfen, schaukeln",,,"bouncing up and down, swinging",
15,gheub(h)-,lett.,"gubstu, gubt","sich bücken, einsinken",,,"to bend down, to sink down",
16,gheub(h)-,lett.,guba,Haufe,f.,,Haufe,f. [UNKNOWN]
17,gheub(h)-,lit.,gubúotis,sich verflechten,,,to intertwine,
18,gheub(h)-,lit.,"gaubiù, gaũbti","überdecken, umhüllen, wölben",,,"cover, wrap, arch",
19,gheub(h)-,lit.,gaũbtis,sich krümmen,,,"to bend, to curl",
20,gheub(h)-,lit.,gubà,"Heuhaufen, Haufen stehender Garben",,,"Haystack, pile of standing sheaves",
21,gheub(h)-,lit.,gubùs,"geschickt, gewandt, kundig",vgl. die Bedeutung von ags. géap,,"skillful, adept, knowledgeable",compare the meaning of Old English géap
22,gheub(h)-,lit.,dvìgubas,zwiefach,,,twofold,
23,gheub(h)-,apr.,dvigubbus,zwiefach,Gen. Sg. f.,,twofold,Genitive singular feminine.
24,gheub(h)-,aksl.,gъnǫti,falten,,,fold,
25,gheub(h)-,russ.,gnutь,"biegen, krümmen",,,"bend, curve",
26,gheub(h)-,klruss.,hnúty,"biegen, krümmen",,,"bend, curve",
27,gheub(h)-,skr.,"nȁgnêm, nàgnuti",neigen,,,tend,
28,gheub(h)-,sloven.,"gánem, gániti","bewegen, rühren",,,"move, stir",
29,gheub(h)-,čech.,hnouti,"bewegen, rühren",,,"move, stir",
30,gheub(h)-,aksl.,negъbljь,unbewegt,aus *gubja-,,immobile,from *gubja-
31,gheub(h)-,russ. ksl.,gъbežь,Biegung,,,Bend/Curve,
32,gheub(h)-,čech.,příheb,"Biegestelle, Gelenk","aus -gъbъ, vgl. lit. -gubas",,"Bending point, joint","from -gъbъ, compare with Lithuanian -gubas"
33,gheub(h)-,aksl.,sugubъ,doppelt,ablautend,,double,showing ablaut
33,gheub(h)-,aksl.,dvogubъ,doppelt,ablautend,,double,showing ablaut
34,gheub(h)-,russ.,gubá,Bucht,,,Bay,
35,gheub(h)-,sloven.,gúba,Falte,,,Wrinkle,
36,gheub(h)-,poln.,przegub,"Gelenk, Krümmung",,,"Joint, curvature",
37,gheub(h)-,aksl.,gybljǫ gybati,zugrunde gehen,Iterativ,,to perish/ to be destroyed,Iterative
38,gheub(h)-,aksl.,"prěgybajǫ, prěgybati",beugen,Iterativ,,to bend,Iterative
39,gheub(h)-,russ.,"gíbnutь, gínutь","verderben, umkommen",,,"spoil, perish",
40,gheub(h)-,russ.,gibátь,biegen,,,to bend or to turn,
41,gheub(h)-,skr.,"gîbljêm (gi̇bâm), gíbati","bewegen, wiegen",,,"move, weigh",
42,gheub(h)-,čech.,hynouti,"zugrunde gehen, verkommen",,,"perish, degenerate",
43,gheub(h)-,čech.,hýbati,"bewegen, treiben",,,"move, drive",
44,gheub(h)-,aksl.,pogubljǫ pogubiti,zugrunde richten,Kausativ,,to destroy/ruin,Causative
45,gheub(h)-,russ.,gubítь,verderben,Kausativ,,spoil/damage/wreck,Causative
46,gheub(h)-,skr.,"gùbîm, gùbiti",verderben,Kausativ,,spoil/damage/wreck,Causative
47,gheub(h)-,čech.,hubiti,"verderben, vertilgen",Kausativ,,"spoil, devour",Causative
48,gheub(h)-,poln.,"gubię, gubić","verlieren, verderben",,,"lose, spoil",
49,gheub(h)-,aksl.,paguba,Verderben,,,Spoilage/ruin,
0,"gheug̑h-, ghū̆g̑h-",ai.,"gū́hati, guhati",versteckt,Aor. aghukṣat,,hidden,Aor. aghukṣat [UNKNOWN]
1,"gheug̑h-, ghū̆g̑h-",ai.,gúhā,"Versteck, Höhle",,,"Hideout, cave",
2,"gheug̑h-, ghū̆g̑h-",ai.,gṓha-ḥ,"Versteck, Lager",,,"Hideout, warehouse",
3,"gheug̑h-, ghū̆g̑h-",av.,guz-,"verbergen, verstecken","(guzaēta, fra-guzayanta)",,"hide, conceal","(guzaēta, fra-guzayanta) [UNKNOWN]"
4,"gheug̑h-, ghū̆g̑h-",apers.,yadiy apa-gaudayāhi,wenn du verbirgst,,,when you hide,
5,"gheug̑h-, ghū̆g̑h-",aisl.,gȳgr,"Unholdin, Riesin","f., *gūgī-z, vgl. formell lit. gùže",,"She-devil, giantess","f., *gūgī-z, see formal lit. gùže"
6,"gheug̑h-, ghū̆g̑h-",dän.,gyg,ein Unterirdischer,älter dän.,,an underground dweller,older Danish
7,"gheug̑h-, ghū̆g̑h-",dän.,gyger,"Mörder, Räuber",,,"Murderer, robber",
8,"gheug̑h-, ghū̆g̑h-",lit.,gū̃žti,"beschützen, auch brüten, warm zudecken",,,"protect, also brood, cover warmly",
9,"gheug̑h-, ghū̆g̑h-",lit.,gūžỹnė,Blindekuhspiel,,,Blind man's buff,
10,"gheug̑h-, ghū̆g̑h-",lit.,"gū́žis, gūžtà",Brutnest,,,Broodnest,
